"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Pressure-Volume-Temperature Correlations for Heavy and Extra Heavy Oils","https://scispace.com/paper/pressure-volume-temperature-correlations-for-heavy-and-extra-34btve6aly","1995","Proceedings Article","","Giambattista De Ghetto
Francesco Paone
Marco Villa","10.2118/30316-MS","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Evaluates and compares viscosity correlations for heavy and extra‑heavy oils, reporting statistical errors and proposing new equations for these crude‑oil properties.","The paper evaluates the reliability of the most common empirical correlations used for determining reservoir fluid properties whenever laboratory PVT data are not available : bubblepoint pressure, solution GOR, bubblepoint OFVF, isothermal compressibility, dead-oil viscosity, gas-saturated oil viscosity and undersaturated oil viscosity. The reliability has been evaluated against a set of about 65 heavy and extra-heavy oil samples. About 1200 measured data points have been collected and investigated. All measured data points are reported in the paper. For all the correlations, the following statistical parameters have been calculated : a) relative deviation between estimated and experimental values, b) average absolute percent error, c) standard deviation. Oil samples have been divided in two different API gravity classes : extra-heavy oils for °API≤ 10, heavy oils for 10< °API≤ 22.3. The best correlations for each class of API gravity have been evaluated for each oil-property. The functional forms of the correlations that gave the best results for each oil property have been used for finding a better correlation with errors reduced, on averages by 10%. In particular, for extra-heavy oils, since no correlations are available in literature (except for viscosity), a special investigation has been performed and new equations are proposed."
"New models to predict the viscosity of extra-heavy oil in colombian fields","https://scispace.com/paper/new-models-to-predict-the-viscosity-of-extra-heavy-oil-in-32xg7lhpnp","2014","Journal Article","Ciencia Tecnologia y Futuro","Mauricio Pertuz-Parra
Gian Pino-Tarazona
John León-Pabón
Carlos Pérez-Reyes
Carlos-Andrés Díaz-Prada","10.29047/01225383.38","https://scispace.com/pdf/new-models-to-predict-the-viscosity-of-extra-heavy-oil-in-32xg7lhpnp.pdf","- **Relevance Score:** 94/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Adjusts De Ghetto viscosity model to predict extra‑heavy oil viscosity using PVT data and API range; focuses on heavy oil but lacks explicit model comparisons.","Viscosity is one of the fundamental properties of fluids in calculating the pressure drop of fluid flow through pipes or porous media. It is also highly relevant in interpreting production tests, hydrocarbon transport and the analysis of problems that may arise in the well. This paper introduces an adjustment to the De Ghetto viscosity model in order to accurately predict the viscosity of undersaturated extra-heavy oil. The adjustment of the De Ghetto model for undersaturated extra-heavy oil has been developed using a database of PVT analysis of extra-heavy oil to assess the accuracy of the models published in literature. Subsequently, by using statistical analysis and regression techniques, the models with the best approximation to the values of the PVT reports were adjusted, thus resulting in two models with absolute average error rates of 4.69 and 2.42%. These rates are valid for oils with API gravities ranging from 6.5 to 9.5, in order to accurately predict the viscosity of undersaturated extra-heavy oils."
"Testing the performance of some dead oil viscosity correlations","https://scispace.com/paper/testing-the-performance-of-some-dead-oil-viscosity-4cp929l7s9","2012","","","Elmahboub Edreder
Khulud Rahuma","","","- **Relevance Score:** 92/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Evaluates several dead‑oil viscosity correlations (including Beggs‑Robinson) for Libyan crude oils, comparing their predictions; does not specifically target heavy‑oil viscosity.","The knowledge of viscosity plays a very important role in a variety of interesting engineering problems involving fluid flow in porous media and reservoir simulation. The dead oil viscosity is defined as the viscosity of crude oil at atmospheric pressure (no gas in solution) and system temperature. Several correlations have been proposed in the past for predicting the dead oil viscosity. Most of the dead oil viscosity correlations are based on the oil °API gravity and temperature. In this work, evaluating the performance of investigated models. Beal, Beggs-Robinson, Glaso, Labedi and Petrosky and Farshad correlations have been investigated for some Libyan crude oils. Statistical analysis in terms of absolute deviation percent (% AD), and the absolute average deviations percent (% AAD) are used to subject the evaluation of the viscosity correlations. Comparison results indicate that, Beggs-Robinson correlation provide the best prediction for dead oil viscosities in the investigated Libyan oil samples within AAD of 9.58%. Results of this study can be helpful in screening viscosity correlations to suite Libyan crude oils as well as similar crudes. Key Word: Viscosity; dead oil; correlation; absolute average deviation; temperature."
"Evaluation of Oil Viscosity Based Various Empirical Correlations for Azerbaijan Crude Oils","https://scispace.com/paper/t26Kze_3UTEJ","","","","YN Imamverdiyev
MS Hajirahimova","","https://www.mecs-press.org/ijitcs/ijitcs-v11-n6/IJITCS-V11-N6-3.pdf","- **Relevance Score:** 92/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Beggs‑Robinson correlation and other empirical models with PVT data to evaluate Azerbaijan crude oil viscosity; does not specifically target heavy oil.",""
"Evaluates a PVT correlation to estimate dead oil viscosity for Libyan crudes using 104 samples from different reservoirs","https://scispace.com/paper/dbolC636AzMJ","","","","MA Samba
L Yiqiang
WA Alkhyyali
YA Altaher","","https://www.sciencedirect.com/science/article/pii/S2307187725001853/pdf?md5=36852ca099976a4adb73685842691064&pid=1-s2.0-S2307187725001853-main.pdf","- **Relevance Score:** 92/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Compares a new PVT viscosity correlation to Beggs & Robinson for Libyan crudes, showing better performance; addresses crude oil PVT properties but not heavy oil specifically.",""
"Development of artificial intelligence models for prediction of crude oil viscosity","https://scispace.com/paper/development-of-artificial-intelligence-models-for-prediction-48pl7n3jkp","2019","Proceedings Article","","Luai Ali Al-Amoudi
Badr Salem Ba geri
Shirish Patil
Salem O. Baarimah","10.2118/194741-MS","","- **Relevance Score:** 92/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Compares ANN predictions to Beggs‑Robinson and other viscosity correlations, showing higher accuracy for crude oil viscosity from PVT data; does not specifically target heavy oil.","
 Crude oil viscosity is a significant parameter for the fluid flow in both porous media and pipe lines. Therefore, it has to be determined using highly accurate methods. Oil viscosity is usually predicted with the correlations obtained from the laboratory measured data. However, some of the presented correlations have very complicated assumptions which make them very difficult to apply in most of the case studies reported. On the other hand, simplified correlations companies the accuracy.
 The present work in this paper studies predictive capabilities of Artificial Intelligence (AI) to estimate the oil viscosity. Artificial Neural Network (ANN) models are proposed to predict the undersaturated, saturated and dead oil viscosity in Yemeni fields. A data set consisting 545 of laboratory measurements on oil samples was gathered from different oil fields in Yemen. 70% of the data points were used to train the proposed ANN models while the remaining data set was tested the model performance. The performance of the ANN methods was compared with some of the conventional correlations such as (Beal's correlation, Khan's correlation, Kartoatmodjo and Schmidt correlation, Vasquez-Begg's correlation, Chew and Connaly correlation, Beggs and Robinson correlation, Elsharqawy correlation and Glaso's correlation).
 The result of this study shows the superiority of the Artificial Neural Network (ANN) models over the current models for predicting oil viscosity from PVT data. The comparative results displayed that the proposed ANN models performed better with higher accuracy than those obtained with published correlations."
"Evaluation of Oil Viscosity Performance Using Several Empirical Correlations for Some Libyan Crude Oils","https://scispace.com/paper/evaluation-of-oil-viscosity-performance-using-several-2qen5i1vdy","2016","Journal Article","Journal of Engineering and Technology","Khulud. M. Rahuma","10.11648/J.AJETM.20160104.11","https://scispace.com/pdf/evaluation-of-oil-viscosity-performance-using-several-2qen5i1vdy.pdf","- **Relevance Score:** 92/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Compares multiple viscosity correlations (including Beggs‑Robinson) on Libyan crude samples, performing error analysis to identify best model.","Evaluation of oil viscosity is an important deal in the design of various operations in oil fields and refineries. Therefore, the variety in viscosity of crude oil, depends on pressure and temperature [1]. In this work, different oil samples from Libyan reservoirs were selected and supplementary data were collected from published literature. Chew-Connally [2], Beggs-Robinson [3], Labedi [4] and modified kartoatmodjo [5] correlations are applied to the acquired data set and a comprehensive error analysis is performed based on a comparison of the predicted value with the experimental value. Results concluded that Beggs-Robinson model gives the lowest value of absolute average deviation (AAD %) 21.19 % compared with the other models promoting this correlation for more applications."
"Models predicting saturated and under-saturated viscosity for some libyan crude oils","https://scispace.com/paper/models-predicting-saturated-and-under-saturated-viscosity-1lipv751l9","2013","","","Khulud Rahuma
Elmahboub Edreder","","","- **Relevance Score:** 92/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Applies and compares multiple viscosity correlations (e.g., Beggs‑Robinson, Kartoatmodjo) to Libyan crude oil data, evaluating PVT‑related properties; does not specifically target heavy oil.","In this work the idea was to apply literature models to predict viscosity of crude oils. Fifteen different oil samples from Libyan reservoirs have been used. Experimental data collected from the Libyan Petroleum Institute database. Supplementary data were collected from published literature. ChewConnally, Beggs-Robinson, Labedi, Kartoatmodjo and Schmidt, modified Kartoatmodjo, and Elsharkawy & Alikhan models have been investigated for saturated oil , while Beal , Vasquez and Beggs , Khan and Ali, Labedi ,Kartoatmodjo and Schmidt, and Elsharkawy & Alikhan have been used to undersaturated oil. The accuracy of models for investigated viscosity were applied to the acquired data set and a comprehensive error analysis was performed based on a comparison of the predicted value with the experimental value. The results obtained indicate, that modified Kartoatmodjo model is the best and accurate for saturated oil viscosity, while Beal’s model is the best for undersaturated oils. The less AARE % was calculated 23.9% for saturated oil, and 21.9 % for undersaturated oil. 1. OVERVIEW Viscosity is a strong function of the temperature, pressure, oil gravity, gas gravity, and gas solubility. Viscosity could be measured by two methods semi-theoretical which are derived from a theoretical framework, but involve parameters experimentally determined, or empirical, which include a wide variety of equations used throughout the industry. Empirical models can be classified to corrective, which is an experimental mixture data used for evaluation of model parameters, and predictive which is the properties of pure components are utilized. The viscosity is usually reported in standard PVT analyses. If laboratory data are not available, engineers may refer to published correlations, which usually vary in complexity and accuracy depending upon the available data. The viscosity of hydrocarbon mixtures and petroleum reservoir fluids is commonly measured by either the rolling ball viscometer or the capillary tube viscometer. In the rolling ball viscometer, the time required by the steel ball to travel through the fluid is correlated to its density and viscosity. Other nonconventional methods include the laser light scattering and the piezoelectric quartz crystal techniques. The objective of this study is to apply an accurate correlations to predict oil viscosity at various operating conditions. In the literature, several empirical correlations have been proposed for oil viscosity prediction (saturated, and undersaturated). Here, based on Libyan oil reservoirs data, accuracy of these correlations has been confirmed by comparing the obtained results of these correlations with experimental data for Libyan oil samples. Statistical analysis is the criteria adopted for the evaluation in this study."
"Analyzing and assessment of oil viscosity models based on the API ranges","https://scispace.com/paper/analyzing-and-assessment-of-oil-viscosity-models-based-on-3jtzwxvor2","2017","Journal Article","Petroleum Science and Technology","Shuqiang Shi
Yongqing Wang
Yonghui Liu","10.1080/10916466.2017.1396612","","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Analyzes oil viscosity models using API ranges, explicitly modifies the Egbogah & Ng heavy oil correlation and discusses crude oil API gravity.","The common empirical correlations of oil viscosity can be divided into three categories: extra-heavy oil models, heavy oil models and light oil models. But not all the models are suitable for predi..."
"Evaluación técnico financiera de un sistema de levantamiento combinado bombeo mecánico e hidráulico para la obtención de información del yacimiento por medio de registros de producción en un pozo en Campo Provincia","https://scispace.com/paper/evaluacion-tecnico-financiera-de-un-sistema-de-levantamiento-3cde1puq31","2016","Dissertation","","Javier Andrés Porras Tirado
Juan Felipe Suarez Medina","","https://scispace.com/pdf/evaluacion-tecnico-financiera-de-un-sistema-de-levantamiento-3cde1puq31.pdf","- **Relevance Score:** 86/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses viscosity models using Beggs‑Robinson and Lee correlations for PVT analysis with API gravity, but lacks heavy‑oil focus and detailed model comparison.",""
