"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Establishing the relationship between heavy oil viscosity and molecular markers using an enhanced neural network model","https://scispace.com/paper/establishing-the-relationship-between-heavy-oil-viscosity-ypp6570qdyc7","2025","Journal Article","Dental science reports","Ming Zhong
Zicheng Niu
Jie Fan
Haiping Huang
Ningxi Li
Li Jia
Hong Zhang","10.1038/s41598-025-18561-2","https://scispace.compdf/establishing-the-relationship-between-heavy-oil-viscosity-ypp6570qdyc7.pdf","The heterogeneous viscosity distribution of biodegraded heavy oil poses significant challenges for reservoir management. While molecular markers (biomarkers) reflect biodegradation intensity, existing models fail to establish quantitative correlations between biomarker signatures and viscosity due to multicollinearity in high-dimensional geochemical data. This study develops an integrated machine learning framework to decode biomarker-viscosity relationships in the Songliao Basin heavy oils. Our dual-phase methodology combines ridge regression for multicollinearity mitigation with a feedforward neural network (FFNN) to capture nonlinear interactions. Key biomarkers were identified through geochemical analysis of 17 heavy oil samples spanning PM0-PM6 biodegradation levels. The hybrid model achieved exceptional prediction accuracy (R2 = 0.99996, RMSE = 3.39) through L2-regularized feature selection and neural network optimization, outperforming standalone FFNN models (cross-validation R2 improvement from 0.032 to 0.99996). Reverse prediction experiments validated biomarker response patterns, even in severely biodegraded oils. The advanced machine learning model proposed in this study is applicable to predict the viscosity of heavy oil and its biomarkers, thereby improving reservoir management strategies. Additionally, this study contributes a new perspective on characterizing and managing the reservoirs of various geological backgrounds and origins, not just biodegradable heavy oil reservoirs.","This study develops a machine learning framework to decode biomarker-viscosity relationships in heavy oils, achieving exceptional prediction accuracy (R2 = 0.99996) and outperforming standalone models, with implications for reservoir management and characterization of biodegradable heavy oil reservoirs."
"Viscosity Prediction of Heavy Oil from the Liaohe Basin Using Biomarker Parameters","https://scispace.com/paper/viscosity-prediction-of-heavy-oil-from-the-liaohe-basin-1130qzhg79","2014","Journal Article","Petroleum Science and Technology","J. J. Hu
X. T. Zhang
Q. Yu
Z. Huang
Q. Xiao
H. J. Zhao","10.1080/10916466.2011.637535","","A set of correlations was proposed to predict the viscosities of heavy oils from Leng 43/37 blocks (Liaohe Basin) using some biomarker parameters. Geochemical analysis showed that the heavy oils in this study main suffered from different degrees of biodegradation. With increasing biodegradation, the viscosities of crude oils have strong correlations with the following four biomarker biodegradation parameters: (Pr + Ph)/(nC17 + nC18), (nC17 + nC18)/C30H, nC17 + nC18 + Pr + Ph (mg/g), ∑(nC11 − nC36) (mg/g); the correlation coefficients were 0.96, 0.94, 0.93, and 0.94, respectively. Moreover, for convenience, we ranked the extent of biodegradation as nonbiodegraded and lightly, moderately, heavily, and severely biodegraded. The accuracy and applicable biodegradation scale range of these correlations are discussed. The viscosities obtained from the correlations could be used in designing biodegraded heavy oil production projects.","A set of correlations was proposed to predict the viscosities of heavy oils from Leng 43/37 blocks (Liaohe Basin) using some biomarker parameters and the extent of biodegradation was ranked as nonbiodegraded and lightly, moderately, heavily, and severely biodegraded."
"Using Biomarkers to Improve Heavy Oil Reservoir Management: An Example From the Cymric Field, Kern County, California","https://scispace.com/paper/using-biomarkers-to-improve-heavy-oil-reservoir-management-u7k9orpzey","1996","Journal Article","AAPG Bulletin","Mark A. McCaffrey
Henry A. Legarre
Scott J. Johnson","10.1306/64ED8908-1724-11D7-8645000102C1865D","","For biodegraded oil accumulations, field development can be optimized by using geochemical indicators of variations in the extent of bacterial alteration. Biodegradation typically reduces oil producibility by increasing oil viscosity. In the Cymric field (Kern County, California), sidewall core extracts reveal that the extent of oil biodegradation changes substantially over extremely short vertical distances in a shallow, low-permeability reservoir. Zones of more degraded oil can extend laterally for more than a mile. The relationships between oil viscosity and biomarker biodegradation parameters in this field were calibrated from analyses of produced oils, and these relationships were used to convert sidewall core biomarker analyses into quantitative predictions of lateral and vertical changes in oil viscosity and gravity. Compositional variations were also used to allocate production to discrete zones. Viscosity prediction and production allocation can be used to optimize (1) the placement of new wells, (2) the placement of completion intervals, (3) the thickness of steam injection intervals, and (4) the spacing between injection intervals in the same well.","In this paper, the relationship between oil viscosity and biomarker biodegradation parameters in the Cymric field was calibrated from analyses of produced oils, and these relationships were used to convert sidewall core biomarker analyses into quantitative predictions of lateral and vertical changes in oil viscoity and gravity."
"Viscosity and other rheological properties of bitumen from the Upper Devonian Grosmont reservoir, Alberta, Canada","https://scispace.com/paper/viscosity-and-other-rheological-properties-of-bitumen-from-1qpz4uudbg","2012","Journal Article","AAPG Bulletin","Yi Zhao
Hans G. Machel","10.1306/04261110180","","Viscosity is directly related to the mobility and quality of hydrocarbons in reservoirs, and its distribution is commonly heterogeneous. Therefore, viscosity has a great impact on the exploitation of heavy oil and bitumen reservoirs. Previous studies showed that viscosity measurements are problematic and are often inconsistent mainly because of the challenges of sample preparation and lack of a standard procedure for measuring viscosity in the oil and gas industry. This study aims to improve the characterization of reservoir viscosity by understanding the rheological properties of bitumen using bitumen samples from the Upper Devonian Grosmont reservoir, Alberta, Canada. This study shows that Grosmont bitumen is essentially a non-Newtonian fluid, exhibiting a distinctive shear-thinning behavior at low temperatures of less than 40C. With increasing temperature, however, the bitumen changes from a non-Newtonian fluid to a Newtonian fluid. At low temperatures, the viscosity variations can be divided into four stages. A standard viscosity called zero-shear viscosity is obtained from the viscosity variations and can be used throughout the reservoir as characteristic viscosity for Grosmont bitumen. The viscosity distribution in the Grosmont reservoir is complex and appears to be stratigraphically related. Bitumen samples from formation boundaries tend to have higher viscosities, suggesting more severe biodegradation at these locations. Possible causes for the observed patterns in the Grosmont include (1) oil-water contacts migrating up and down over time; (2) oil migration and/or biodegradation controlled by aquitards that divide the reservoir into hydrostratigraphically separated units; and (3) differences in microbial activity, that is, aerobic versus anaerobic, possibly controlled by the level of oxygenation over time.","In this article, the rheological properties of bitumen using bitumen samples from the Upper Devonian Grosmont reservoir, Alberta, Canada, were analyzed and it was shown that bitumen is essentially a non-Newtonian fluid, exhibiting a distinctive shear-thinning behavior at low temperatures of less than 40C. At low temperatures, the viscosity variations can be divided into four stages."
"Data-driven modeling of heavy oil viscosity in the reservoir from geophysical well logs","https://scispace.com/paper/data-driven-modeling-of-heavy-oil-viscosity-in-the-reservoir-1mbjcgd5ph","2018","Journal Article","Petroleum Science and Technology","Arash Kamari
Abdelmoneam Raef
Matthew W. Totten","10.1080/10916466.2018.1468778","","Viscosity is the most crucial fluid property on recovery and productivity of hydrocarbon reservoirs, more particularly heavy oil reservoirs. In heavy and extra heavy oil reservoirs e.g. bitumen and tar sands more energy is required to be injected into the system in order to decrease the viscosity to make the flow easier. Therefore, attempt to develop a reliable and rapid method for accurate estimation of heavy oil viscosity is inevitable. In this study, a predictive model for estimating of heavy oil viscosity is proposed, utilizing geophysical well logs data including gamma ray, neutron porosity, density porosity, resistivity logs, spontaneous potential as well as P-wave velocity and S-wave velocity and their ratio (Vp/Vs). To this end, a supervised machine learning algorithm, namely least square support vector machine (LSSVM), has been employed for modeling, and a dataset was provided from well logs data in a Canadian heavy oil reservoir, the Athabasca North area. The results indicate that the pr...","In this article, a predictive model for estimating heavy oil viscosity is proposed, utilizing geophysical well logs data including gamma ray, neutron porosity, density porosity and resistivity logs, spontaneous potential as well as P-wave velocity and S wave velocity and their ratio (Vp/Vs)."
"Geological and geochemical studies of heavy oil reservoirs in China","https://scispace.com/paper/geological-and-geochemical-studies-of-heavy-oil-reservoirs-4rz8vyl650","1989","Journal Article","Chinese Journal of Geochemistry","Hu Jianyi
Xu Shubao
Cheng Keming","10.1007/BF02837838","","Thickened heavy oils in China are genetically characteristic of continental fades. As to their physico-chemical properties, these oils are very high in viscosity and low in sulphur and trace element contents. In the group constituents, the concentrations of non-hydrocarbons and asphaltene are very high but those of saturated hydrocarbons and aromatics are very low. The gas chromatograms of alkanes show that these heavy oils have high abundances of iso - alkanes and cyclic hydrocarbons. In all the steroids and terpenoids, bicyclic sesquiterpenoids, tricyclic diterpenoids, re - arranged steranes and gammacerane are strongly biodegradation - resistent. The formation of heavy oil reservoirs is controlled mainly by late basin ascendance, biodegradation, flushing by meteoric water and oxidation in the oil - bearing formations. According to their formation mechanisms, heavy oil reservoirs can be classified as four categories: weathering and denudation, marginal oxidation, secondary migration and thickening of bottom water. Spatially, heavy thick oil reservoirs are distributed regularly: they usually show some paragenetic relationships with normal oil reservoirs. Heavy oil reservoirs often occur in structural highs or in overlying younger strata. Their burial depth is about 2000m. Horizontally, most of them are distributed on the margins of basins or depressions.","According to their formation mechanisms, heavy oil reservoirs can be classified as four categories: weathering and denudation, marginal oxidation, secondary migration and thickening of bottom water as discussed by the authors."
"The Impact of Oil Viscosity Heterogeneity on Production Characteristics of Heavy Oil and Tar Sand(HOTS) Reservoirs Part III: The Origin of Highly Non Linear Oil Viscosity Gradients and the Design of Geotailored Recovery Processes Suitable for such Compositionally Graded Reservoirs","https://scispace.com/paper/the-impact-of-oil-viscosity-heterogeneity-on-production-5cc6sgxnmf","2007","","","Steve Larter
Jennifer D. Adams
Ian D. Gates","","https://www.searchanddiscovery.com/abstracts/html/2013/90168cspg/abstracts/ndx_larter.pdf","The world oil inventory is dominated by heavy oils and tar sand (HOTS) bitumens generated almost entirely by the process of biodegradation. This process is a biologically-driven, complex reactive diffusion-dominated in-reservoir oil alteration process that occurs under anaerobic conditions (Aitken et al., 2004) driven by oil-water reactions, usually at the oil column base producing methane and heavy oil as by-products (Head et al, 2003). Because large volumes of lighter hydrocarbon components are consumed by the biological process at the oil-water contact or transition zone, significant vertical and lateral gradients in oil composition and thus oil viscosity result (Larter et al., 2003,2006a,b). The ultimate controls on the increase of oil alteration and thus viscosity rise are related to the oil charge composition and charge rate history (Adams et al., 2006), mixing of fresh and biodegraded oils and diffusion of oil components (Koopmans et al., 2002), the extent of the water leg in the reservoir and nutrient supply, and the reservoir temperature history (Larter et al., 2003; 2006a). Temperature ultimately controls the survival of microrganisms in the subsurface with reservoir pasteurisation at 80 C and above (Wilhelms et al., 2001).",""
"A Viscosity Correlation for Mixtures of Heavy Oil, Bitumen, and Petroleum Fractions","https://scispace.com/paper/a-viscosity-correlation-for-mixtures-of-heavy-oil-bitumen-4f6go1iri2","1984","Journal Article","Society of Petroleum Engineers Journal","W.R. Shu","10.2118/11280-PA","","High viscosity is a major constraint in the recovery and transportation of heavy crudes and tar sand bitumens. Viscosity reduction may be achieved by mixing the crude with a light petroleum solvent. This paper presents a generalized correlation for calculating viscosities of such mixtures. A power-law mixing rule was generalized by use of the Einstein-type relationship for the viscosities of infinitely dilute solutions. Literature and in-house data were compiled to establish the correlation. The final correlation requires only density and viscosity of the two fluids to predict blending viscosity at any mixture composition. The correlation is tested with heavy-oil/solvent blending data and gives an excellent prediction of the blending viscosities.","In this paper, a generalized correlation for calculating viscosities of such mixtures was presented by using the Einstein-type relationship for the viscosity of infinitely dilute solutions."
"The Impact of Oil Viscosity Heterogeneity on Production from Heavy Oil and Bitumen Reservoirs: Geotailoring Recovery Processes to Compositionally Graded Reservoirs","https://scispace.com/paper/the-impact-of-oil-viscosity-heterogeneity-on-production-from-p24aoj1l9j","2010","Book Chapter","","Ian D. Gates
J. J. Adams
Steve Larter","10.1190/1.9781560802235.CH22","","The majority of the world’s petroleum resources are contained in heavy oil and oil sand reservoirs. Average recoveries from heavy oil and oil sand reservoirs are typically low ranging from 5 to 15 percent for cold heavy oil production and from 30 to 85 percent for steam-based in situ processes. Two reasons account for this: first, geological heterogeneity in the form of variable rock and rock-fluid properties and second, fluid heterogeneities in the form of variable fluid composition. Geological heterogeneities refer to spatial variations of porosity, permeability, relative-permeability curves, shale and mud layers, etc. Fluid heterogeneities refer to spatial variations of the fluid composition and properties such as viscosity and density. We will show that the controlling variable on recovery of these resources is fluid compositional variations.","This article showed that the controlling variable on recovery of heavy oil and oil sand resources is fluid compositional variations, which refers to spatial variations of the fluid composition and properties such as viscosity and density."
"Bitumen and Heavy Oil Rheological Properties: Reconciliation with Viscosity Measurements","https://scispace.com/paper/bitumen-and-heavy-oil-rheological-properties-reconciliation-e08wuzfcyj87","2016","Repository","","","10.1021/je900562u.s001","","Complex viscosity and phase-angle measurements for Athabasca bitumen and Maya crude oil were performed with a rotational rheometer using parallel plates and a double gap cylinder in the oscillatory mode over the temperature range of (200 to 410) K. A large range of shearing conditions were applied (frequency of oscillations, shear strain, or stress), and up to three orders of magnitude of variations in measured viscosity values for individual samples at a fixed temperature were obtained. Athabasca bitumen and Maya crude oil were found to be solid-like materials up to (260 to 280) K and (230 to 240) K, respectively. Athabasca bitumen is a non-Newtonian shear-thinning fluid up to (310 to 315) K, whereas Maya crude is a shear-thinning fluid up to (280 to 285) K. Both are Newtonian at higher temperatures. Maya crude oil was also found to possess thixotropic behavior. Athabasca bitumen reveals the thermal irreversibility of complex viscosity, if it is heated above 360 K. These rheological behaviors are attributed to the multiphase behavior of these materials over the temperature range of interest, and these results can be used to reconcile the large differences in reported viscosity values for bitumen and heavy oil obtained with diverse viscometers where shear rate and other variables are not controlled. Additional artifacts introduced during measurements are also addressed. Sample variation due to geographical location, depth of formation, and production and postproduction processing can also result in up to three orders of magnitude of differences between the measured “viscosity” of bitumen when the measurement method and temperature are fixed. The flow properties of bitumen and heavy oil are expected to be strong functions of sample source and the hydrodynamics prevailing in situ or in processes at temperatures where non-Newtonian behaviors prevail. ",""
