"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Multivariate Reservoir Property Modeling with Hierarchical Truncated Pluri-Gaussian and Projection Pursuit Multivariate Transformation Techniques","https://scispace.com/paper/multivariate-reservoir-property-modeling-with-hierarchical-rug8ej29zkfe","2022","Journal Article","","","10.7939/r3-39am-0z71","","To characterize a petroleum reservoir and to develop a reliable static and dynamic model for assessing resources and reserves, the rock and fluid properties of the subsurface formation are modeled. In most cases, multiple reservoir properties (categorical and continuous variables) are jointly utilized to represent rock properties. Standard practice is to model and characterize the categorical properties of the reservoir such as facies, before modeling the continuous petrophysical properties. A framework that applies the Hierarchical Truncated Pluri Gaussian (HTPG) and Projection Pursuit Multivariate Transformation (PPMT) techniques for multivariate modeling of rock properties in a petroleum reservoir is developed and documented in this thesis. The HTPG technique and PPMT workflow are established methods for modeling categorical and continuous variables, respectively. Unlike other truncated simulation techniques such as Truncated Gaussian Simulation (TGS) and Truncated Pluri Gaussian Simulation (TPGS), HTPG can be applied to a complex geological domain and does not limit the number of latent Gaussian variables that are used. Although the traditional modeling workflow for multivariate continuous property modeling reproduces important univariate statistics, it does not reproduce the complexity in the multivariate data, and this leads to models that do not reproduce important characteristics of the reservoir. To overcome this limitation and for ease in the geostatistical modeling workflow, the PPMT workflow is implemented. The PPMT decorrelates the multivariate variable and transforms them into univariate Gaussian variables that can be modeled independently. This proposed integrated modeling method is implemented on the Hekla Reservoir. The HTPG simulation technique is applied to model the five facies in the Hekla reservoir to generate one hundred simulated realizations of the facies, while the PPMT technique is subsequently applied to model the continuous petrophysical properties (porosity and permeability) distributed in the reservoir. This framework is reproducible and applicable to both mining and petroleum projects, which often require multiple categorical and continuous variables of geologic deposits or reservoirs. ","A novel framework integrating Hierarchical Truncated Pluri-Gaussian and Projection Pursuit Multivariate Transformation techniques is developed for multivariate reservoir property modeling, enabling accurate characterization and simulation of complex geological domains in petroleum reservoirs."
"Reservoir description via statistical and machine-learning approaches","https://scispace.com/paper/reservoir-description-via-statistical-and-machine-learning-tc2qdjv7i0v0","2023","Repository","","Pan Wen","10.26153/tsw/44086","","Description of subsurface reservoirs is important for decision-making in the development of hydrocarbon resources. Reservoir description concerns (1) geophysical interpretation: prediction of rock properties from geophysical measurements such as borehole and seismic amplitude data, and (2) reservoir modeling: modeling of the spatial distribution of rock properties conditioned by geophysical interpretations (geological modeling), and simulation of fluid-transport, elastic, mechanical, and electromagnetic phenomena, among others, taking place in a geological model (reservoir simulation). Reservoir description based on stochastic reservoir modeling and conditioned by fluid production history enables uncertainty estimation for hydrocarbon reserves and fluid production forecast. Accurate reservoir description assists the management of risk and profit during the exploration and development of hydrocarbon production resources. As one of the most important components of reservoir description, the interpretation of well logs provides high-resolution estimations of in situ rock properties around the wellbore, such as lithology, porosity, fluid saturation, permeability, and elastic moduli. However, conventional petrophysical models are often too simplistic to reproduce the complex relationship between well logs and rock properties, especially permeability. Therefore, data-driven inferential methods, such as machine learning modeling, are needed for more accurate permeability prediction in spatially complex rocks. The accurate prediction of permeability across multiple wells is even more challenging because of variable borehole environmental conditions (e.g., drilling fluid and borehole size), different logging instruments (e.g., induction vs. lateral resistivity logs), and their vintage (e.g., logging-while-drilling vs. wireline logs). To mitigate biases introduced by both variable borehole environmental conditions and borehole instruments, well-log normalization is commonly implemented prior to performing multi-well interpretation projects. However, conventional well-log normalization methods ignore the correlation among different well logs and require much effort and expertise by the interpreter. The first objective of this dissertation is to develop a data-driven interpretation workflow that uses machine-learning methods to perform automatic well-log normalization by considering the correlation among different well logs and to accurately estimate permeability from the normalized well logs. The workflow consists of four steps: (1) identifying well-calibrated wells (type wells) for the wells that need correction (test wells), based on the statistical distance of the associated well logs. (2) Obtaining training data from type wells to train the machine-learning model to minimize the mean-squared error (MSE) of permeability prediction. (3) Performing well-log normalization for the test well logs by minimizing the divergence to the type-well well logs. (4) Predicting the permeability of test wells using normalized well logs. The new interpretation workflow is applied to predict the permeability of 30 wells in the Seminole San Andres Unit (SSAU). Compared to the permeability prediction model without well-log normalization, the new workflow decreases the mean-squared error (MSE) of permeability prediction by 20-50% and greatly accelerates well-log preprocessing with the automatic well-log normalization step. Stochastic reservoir models conditioned by petrophysical and geophysical interpretations are important for uncertainty management during reservoir exploration and development. Conventional geostatistical methods, such as Kriging and multiple-point simulation, are commonly used for conditional reservoir modeling. However, it is difficult to use these methods to construct reservoir models that reproduce long-range geological patterns that are important for fluid-transport prediction, such as the continuity of channels in a turbidite channel sedimentary system. The second objective of this dissertation is to develop a new machine learning method to construct stochastic reservoir models that reproduce important long-range patterns and are conditioned by the interpretation of well logs and seismic amplitude data. This method consists of three steps: (1) calculating training images of a depositional system, such as a turbidite channel or a deepwater lobe system, with rule-based modeling methods. (2) Training a new conditional generative adversarial model, referred to as the stochastic pix2pix model, to generate reservoir model realizations that reproduce patterns in the training images and are conditioned by well logs and seismic amplitude data. (3) Using the trained model to generate conditional reservoir model realizations. However, limitations on computer memory make it difficult for the new method to generate reservoir model realizations with over millions of voxels, such as models with multi-scale architectural elements. To further improve the computational efficiency to generate large and detailed reservoir models, a hierarchical modeling workflow is developed which uses the stochastic pix2pix model to simulate architectural elements from the largest to the smallest scale. The stochastic pix2pix method is verified by comparing the generated lobe and fluvial channel model realizations to reservoir models constructed with the rule-based modeling method. Comparisons indicate that conditioning data, such as rock facies interpreted from well logs and depositional surfaces identified from seismic amplitude data, are well reproduced in model realizations generated with the new method. Statistical metrics, such as semi-variogram, multiple-point histogram (MPH), compensational stacking index, geometrical probability map, and rock facies histogram were calculated to confirm that model realizations accurately reproduce the patterns observed in the training images. Metrics of performance indicate a good reproduction of patterns, for example, the mean-absolute error of geometrical probability is below 2%, while the MPH difference is below 5%. The combination of well-log normalization and interpretation workflow with machine learning-based stochastic reservoir modeling enables more accurate formation evaluation and better estimates of uncertainties associated with rock property distributions than possible with standard modeling approaches. ",""
"Bayesian Hierarchical Modeling: Application Towards Production Results in the Eagle Ford Shale of South Texas","https://scispace.com/paper/bayesian-hierarchical-modeling-application-towards-4oxkp9nn1z","2021","Journal Article","","Se Yoon Lee
Bani K. Mallick","10.1007/S13571-020-00245-8","","Recently, the petroleum industry has faced the era of data explosion, and many oil and gas companies resort to data-driven approaches for unconventional field development planning. The objective of this paper is to analyze shale oil wells in a shale reservoir and develop a statistical model useful for upstream. Shale oil wells dataset comprises three aspects of information: oil production rate time series data; well completion data; and well location data. However, traditional decline curve analysis only utilizes the temporal trajectory of the production rates. Motivated by this, we propose a Bayesian hierarchical model that exploits the full aspects of the shale oil wells data. The proposed model provides the following three functionalities: first, estimations of a production decline curve at an individual well and entire reservoir levels; second, identification of significant completion predictors explaining a well productivity; and third, spatial predictions for the oil production rate trajectory of a new well provided completion predictors. As a fully Bayesian approach has been adopted, the functionalities are endowed with uncertainty quantification which is a crucial task in investigating unconventional reservoirs. The data for this study come from 360 shale oil wells completed in the Eagle Ford Shale of South Texas.","In this paper, a Bayesian hierarchical model was proposed to analyze shale oil wells in a shale reservoir and develop a statistical model useful for upstream. But, the model only utilizes the temporal trajectory of the production rates."
"Stochastic methods for petroleum reservoir characterization and production forecasting","https://scispace.com/paper/stochastic-methods-for-petroleum-reservoir-characterization-3skoy3kuk0","1996","Journal Article","Journal of The Japanese Association for Petroleum Technology","Roussos Dimitrakopoulos","10.3720/JAPT.61.537","","Stochastic models of petroleum reservoir geological attributes are used in reservoir studies to: (i) generate effective reservoir properties at the reservoir gridblock scale; and (ii) assess uncertainty in reservoir performance forecasting. The present paper formalizes the methodology in terms of transfer functions and introduces an alternative implementation of the sequential indicator simulation algorithm based on relative indicator variables. In addition, the determination of effective block permeabilities from stochastic images of point support-scale permeability fields is presented in the context of generalized power averages. Applications of the above are demonstrated in the simulation of reservoir lithofacies and gridblock permeabilities. The effects of stochastic imaging and reservoir characterization in assessing reservoir forecasting are illustrated.","In this paper, the effects of stochastic imaging and reservoir characterization in assessing reservoir forecasting are illustrated. And an alternative implementation of the sequential indicator simulation algorithm based on relative indicator variables is introduced."
"Geostatistical Modeling of the Spaces of Local, Spatial, and Response Uncertainty for Continuous Petrophysical Properties","https://scispace.com/paper/geostatistical-modeling-of-the-spaces-of-local-spatial-and-2d8fokm6hr","2006","Book Chapter","","P. Goovaerts","10.1306/1063807CA53229","","In the characterization of petroleum reservoirs, three types of uncertainty typically arise: (1) the uncertainty about the value of a petrophysical attribute at an unsampled location (local uncertainty); (2) the joint uncertainty about attribute values at several locations taken together (spatial uncertainty); and (3) the uncertainty about production forecasts, such as time to recover a given proportion of the oil (response uncertainty). In each case, the probabilistic way to assess the uncertainty consists of determining the distribution or set of possible outcomes (e.g., local permeability value, permeability grid, or production parameters), which is referred to as the space of uncertainty. This chapter reviews the major geostatistical algorithms available to model both local and spatial uncertainties of continuous attributes. Goodness criteria are introduced for each type of space of uncertainty, and the impacts of the following parameters are discussed: stochastic-simulation algorithm, number of realizations, and ergodic fluctuations. Conclusions are drawn on the relations between the different spaces of uncertainty. The discussion is illustrated using an exhaustive set of 102 102 permeability values.","In this paper, a review of the major geostatistical algorithms available to model both local and spatial uncertainties of continuous attributes is presented, and goodness criteria are introduced for each type of uncertainty, and the impacts of the following parameters are discussed: stochastic simulation algorithm, number of realizations, and ergodic fluctuations."
"Modeling Three Ways from Electro-facies - Categorical, E-facies Probabilities, and Petrophysics with Assignment","https://scispace.com/paper/modeling-three-ways-from-electro-facies-categorical-e-facies-2qes8et4gk","2015","Proceedings Article","","David L. Garner
Jeffrey Marc Yarus
M. Srivastava","10.3997/2214-4609.201413616","","Geomodeling for petroleum reservoirs is conventionally done hierarchically by facies to establish regions within which rock and fluid properties can be considered “stationary.” Many reservoir models do not use depositional facies description, but use “electro-facies” created from clustering petrophysical log curves. This paper compares three approaches to the development of e-facies geomodels, 3D models of categorical codes to be used as stationary domains within which rock and fluid properties can be simulated. The first approach uses e-facies codes developed through cluster analysis as conditioning data and uses a method for simulating categorical variables, plurigaussian simulation, to directly build a 3D model of the e-facies. The second approach uses petrophysical logs at the wells as conditioning data and uses a standard method for co-simulating continuous variables to build 3D models of the log responses; these are then converted to e-facies using the rules developed through cluster analysis. The third method works directly with the e-facies probabilities that most cluster analysis techniques can provide. These probabilities are co-simulated as continuous variables in 3D, ensuring they are bounded and sum to 1, and a unique e-facies code is assigned, by taking the e-facies with the maximum probability at each location.","In this article, the authors compare three approaches to the development of e-facies geomodels, 3D models of categorical codes to be used as stationary domains within which rock and fluid properties can be simulated."
"Integrating Machine Learning, Improved Geostatistical Modeling and Experimental Design Techniques for Reservoir Characterization and Probabilistic Reserves Estimation: A Niger Delta Case Study","https://scispace.com/paper/integrating-machine-learning-improved-geostatistical-ax7mclz7rr8r","2025","Proceedings Article","SPE Nigeria Annual International Conference and Exhibition","T. A. Farotimi
Magnus Amaefuna
H. O. Iyiegbu
Oluwasola Olowoyeye
Johnson Agbo
Suraju Oyekade
E. K. Akpodae
E. N. Ebeh
Abiola Oyatobo","10.2118/228695-ms","","Abstract Accurate reserves estimation and uncertainty quantification are essential for optimizing hydrocarbon recovery and guiding strategic field development. For fields in the Niger Delta where undeveloped reservoirs present opportunities for increased production, the challenge lies in overcoming data sparsity and improving reservoir characterization. This paper evaluates two prolific deep reservoirs in the Niger Delta requiring further appraisal and resource estimation to unlock their potential. To address these challenges, an integrated, multidisciplinary workflow was deployed, using advanced machine learning techniques, improved geostatistical modeling and experimental design techniques to further gain better understanding of the subsurface. A supervised machine learning algorithm leveraging better horizontal resolution of seismic was employed to predict well logs in data-sparse regions, facilitating enhanced petrophysical modeling and facies classification. Reservoir properties were distributed within a 3D static model using geostatistical techniques, while flow connectivity was assessed through geo-screening to ensure viable reservoir communication. Pressure-Volume-Temperature (PVT) and relative permeability data, along with fluid contacts, were integrated for robust model initialization, and probabilistic production performance predictions were conducted using proxy modeling techniques. This comprehensive workflow delivers significant benefits in reducing uncertainties and enhancing decision-making in field development. By integrating advanced data-driven methods with traditional reservoir modeling and reserves estimation techniques, the approach provides actionable intelligence for maximizing hydrocarbon recovery and optimizing field planning. It underscores the practical value of innovative methodologies in addressing complex subsurface challenges and driving strategic outcomes. ","This study integrates machine learning, geostatistical modeling, and experimental design to enhance reservoir characterization and probabilistic reserves estimation in the Niger Delta, reducing uncertainties and optimizing field development through actionable intelligence."
"Reservoir Characterization, Modelling and Lateral Predictions Using Multivariate Analysis: A Case Study of Hems Field, Bohai Bay, Liaohe Field, China","https://scispace.com/paper/reservoir-characterization-modelling-and-lateral-predictions-4lxz3etrku","2013","Dissertation","","Oluwatosin J. Rotimi","","","Qualitative and quantitative predictions of reservoir properties and geometries beyond well control are vital to understanding the intrinsic characteristics of subsurface formations. Using well log data, 3D Seismic data, Geostatistical simulations, reservoir characterization, modeling via multivariate analysis was carried out for and lateral predictions on data set obtained from Liaohe field, western sag, Bohai Bay, Northern China. This sag is an intra-cratonic basin of Archean to Recent age.
Stratigraphic analysis, structural analysis, geomodel building and geostatistical methods were used. Well logs methods include conventional interpretation by picking sand units based on Self potential log (SP) and Resistivity logs (LLD) in addition to computation of volume of shale and other petrophysical properties. Unavailable logs like Density and Neutron were predicted from a cored well whilst missing logs sections were predicted using neural networks and fuzzy logic. Clustering technique was employed to predict facies (electrofacies) occurrences based on various log types. Sand tops earlier picked from well logs were laterally traced on seismic sections after well to seismic tie. Structural interpretation was done to map the architectural pattern of the rock units. The post-stack seismic inversion was done and calibrated with logs from 12 wells producing acoustic impedance and elastic impedance volumes. Multi-attribute analysis was used to predict rock properties like porosity from inversion results and vintage seismic data. Modeling of variogram and structural elements was done, after which suitable geostatistical simulation algorithms were used to populate cells and realize multiple equiprobable rock properties for the zone of interest after upscaling all needed rock properties into the earlier built non-partitioned simulation case. These were achieved using standard software such as Petrel®2008, CGGVeritas™ Hampson Russell suite (2008), Interactive Petrophysics v3.5, Kingdom Suite (SMT) 2008, GeoGraphix® 2008 and Surfer 9 (Golden Software).
Results show that clustering models converged to 2 classes namely sand and shale. Sand and shale sequences are fairly mixed and vertically inconsistent as a result of rapid deposition amidst unconsolidation on the toe of the sag structure. Petrophysical values viz hydrocarbon saturation is above 70%, porosity between 0.1 and 0.4, permeability between 0.6 and 3.0mD and volume of shale between 0.3 and 0.8. Structurally, 35 major and minor faults were mapped with 15 used for modeling. Prevailing fault orientation is northeast/southwest, dipping south-easterly and trending northwest-southeast direction. Bedforms are complex with gradual lateral changes in lithofacies. Sharp boundaries in horizontal direction define different depositional facies with a flexible non-partitioned model adopted. The lithofacies model result showed continuous lithological units with inconsistencies of stratigraphic and structural truncations which were also replicated on the rock properties model with clear heterogeneity seen in the observed values. Horizon cubes produced in regions of interest defined relationships that are clearly correlative with rock properties than with seismic attributes/properties. Majority, some of the properties predicted from multiattribute analysis of seismic data calibrated with computed logs correlated well with the simulated rock property volumes.
In conclusion, successful prediction has been done for rock properties at inter-well points and locations beyond well control. The heavy hydrocarbon in reservoir units of the field can be recovered by steam injection method (SAGD). The methodology and interpretation approach adopted in this work can be implemented initially with very few wells for multiattribute volume prediction, seismic inversion and on a larger scale with more wells for geostatistical simulations and modeling.","In this article, a multivariate analysis was carried out for and lateral predictions on data set obtained from Liaohe field, western sag, Bohai Bay, Northern China, which is an intra-cratonic basin of Archean to Recent age."
"Enhancing Forecasting Accuracy Through Reservoir Modeling with Computational Stratigraphy (CompStrat) and Hierarchical Generative Adversarial Networks (GAN)","https://scispace.com/paper/enhancing-forecasting-accuracy-through-reservoir-modeling-smteqclfd9wt","2025","Proceedings Article","SPE Annual Technical Conference and Exhibition","Daniel R Machin
Tao Sun
Lewis Li
Aigul Tyshkanbayeva
Julio C. De La Colina","10.2118/227946-ms","","Abstract Accurate subsurface modeling significantly enhances forecasting performance, providing more precise predictions of reservoir behavior and improved decision making. Traditional geostatistical methods, such as variogram models and multiple point statistics, honor hard data but struggle with complex heterogeneity and non-stationary distributions, leading to unrealistic facies distribution. Conversely, realistic physics-based models including digital analogs, like high-resolution shallow seismic and lidar-scanned outcrops, face challenges when integrating hard data. To address these challenges, we propose a machine learning-based approach called Machine Learned Stratigraphy (MLS) for facies reservoir modeling. MLS leverages hierarchical generative adversarial networks (GAN) trained on digital analogs from state-of-the-art Computational Stratigraphy technology to generate geologically realistic, data-conditioned facies models across multiple scales. It employs a hierarchy of GANs, each conditioned in the latent space to hard and soft data with varying support sizes (seismic, well logs, and petrophysical), facilitating easier data conditioning. The trained model generates multiple equiprobable realizations with realistic heterogeneities and varying levels of connectivity. This method significantly improves the reliability of the reservoir model by accurately representing subsurface complexities. It also improves forecasting accuracy through numerical flow simulation, leading to better predictions of reservoir behavior and performance. Compared to traditional geostatistical and machine learning methods, this technique is faster, more resource-efficient and avoids common modeling artifacts. ","A machine learning-based approach, MLS, leverages hierarchical GANs and computational stratigraphy to generate geologically realistic facies models, improving reservoir modeling accuracy and forecasting performance through data-conditioned, heterogeneous, and connected subsurface representations."
"Impact of rock-physics depth trends and Markov random fields on hierarchical Bayesian lithology/fluid prediction","https://scispace.com/paper/impact-of-rock-physics-depth-trends-and-markov-random-fields-2gxvmdhg0a","2010","Journal Article","Geophysics","Kjartan Rimstad
Henning Omre","10.1190/1.3463475","","Early assessments of petroleum reservoirs are usually based on seismic data and observations in a small number of wells. Decision-making concerning the reservoir will be improved if these data can be integrated and converted into a lithology/fluid map of the reservoir. We analyze lithology/fluid prediction in a Bayesian setting, based on prestack seismic data and well observations. The likelihood model contains a convolved linearized Zoeppritz relation and rock-physics models with depth trends caused by compaction and cementation. Well observations are assumed to be exact. The likelihood model contains several global parameters such as depth trend, wavelets, and error parameters; the inference of these is an integral part of the study. The prior model is based on a profile Markov random field parameterized to capture different continuity directions for lithologies and fluids. The posterior model captures prediction and model-parameter uncertainty and is assessed by Markov-chain Monte Carlo simulation-base...","In this paper, a Bayesian approach was proposed to predict the lithology/fluid map of the reservoir, based on prestack seismic data and well observations, and the prior model was based on a profile Markov random field parameterized to capture different continuity directions for lithologies and fluids."
