"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"The effect of biodegradation on gammacerane in crude oils.","https://scispace.com/paper/the-effect-of-biodegradation-on-gammacerane-in-crude-oils-14iqyd8myk","2017","Journal Article","Biodegradation","Haiping Huang
Haiping Huang","10.1007/S10532-017-9798-5","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses quantitative GC‑MS to track gammacerane degradation, linking petroleum biodegradation, biomarkers, and the Peters‑Moldowan scale.","Gammacerane is one of the major biomarkers widely used in depositional environment diagnosis, oil family classification, and oil-source correlation. It is generally accepted that gammacerane is more resistant to biodegradation than regular hopanes. However, whether it is biodegradable as well has not been reported in literatures. In order to investigate the effect of biodegradation on gammacerane in crude oils, 69 core samples from two biodegraded petroleum accumulations were geochemically characterized by quantitative GC-MS analysis. All samples are originated from lacustrine source rocks in China and have experienced at least level 8 degree of biodegradation on the scale of Peters and Moldowan (The biomarker guide: interpreting molecular fossils in petroleum and ancient sediments, Prentice Hall, Englewood Cliffs, 1993). Both case histories showed the concentration of gammacerane decrease with increasing severity of biodegradation, indicating the destruction of gammacerane by biodegradation. A whole series of 25-norhopanes paralleling the 17α,21β-hopanes (up to C34), together with C28 18-α-25,30-bisnorneohopane, C29 25-nordiahopane and C29 25-norgammacerane, is found in the Liaohe sample suite but C33, C34 25-norhopane and 25-norgammacerane are almost undetectable in the Junggar case. The gammacerane in the Liaohe case study appear to be altered simultaneously with hopanes, although the rate of gammacerane alteration is slower. Its susceptibility to biodegradation is similar to 18α(H)-22,29,30-trisnorneohopane (Ts) and 17α(H)-22,29,30-trisnorhopane (Tm) but more vulnerable than 18α-30-norneohopane (C29 Ts), 15α-methyl-17α(H)-27-norhopane (C30 diahopane) and pregnanes. The gammacerane in the Junggar oils appear to be less biodegradable than the Liaohe case history. It was altered simultaneously with pregnanes and C29 Ts but faster than C30 diahopane. The present data suggest that biodegradation sequence is not universal since the relative rates of biodegradation of different compound classes depend upon specific environmental conditions. Like the case of hopane demethylation, the mechanism of gammacerane biodegradation is not straightforward. While the conversion of gammacerane to 25-norgammacerane is not quantitatively balanced in the Liaohe case history, no 25-norgammacerane has been formed from the degradation of gammacerane in the Junggar case history. The ratio of gammacerane to regular hopanes increases with biodegradation degree especially at extreme levels of degradation, gammacerane index is no longer valid for depositional environment assessment or oil-source correlation."
"Distribution, Controlling Factors and Oil-source correlation of Biodegraded Oils in the Bohai Offshore Area, Bohai Bay Basin, China","https://scispace.com/paper/distribution-controlling-factors-and-oil-source-correlation-1vf0l4f8a9","2017","Journal Article","AAPG Bulletin","Jinqiang Tian
Fang Hao
Xinhuai Zhou
Huayao Zou","10.1306/07251614105","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses petroleum biodegradation using biomarker parameters and PM scale, employs geochemical data for oil-source correlation of severely biodegraded oils in Bohai offshore area.","The vast majority of discovered oils in the Bohai offshore area have undergone biodegradation varying from 1 to 9 on the PM scale (a scale to rank the level of biodegradation proposed by Peters and Moldowan, 1993). The distribution and biodegradation extent of all discovered oils in the Bohai offshore area were investigated systematically using geologic and geochemical data to reveal controlling factors of varying levels of biodegraded oils. Based on the analysis on environment and maternal significances and the resistance to degradation of biomarkers, the biomarker parameter assemblage that is suitable for the oil-source correlation of severely biodegraded oils (higher than PM 6) in the Bohai offshore area was determined. Spatial distribution and biodegradation extent are mainly controlled by current burial depth, the duration of biodegradation, the area of the oil-water-contact (OWC) and a late strike-slip movement of the Tanlu fault. Almost all biodegraded oils are found in shallow reservoirs above 2000 m. The longer the oils are present in these reservoirs or the larger the area of OWC the reservoirs show, the greater the extent of biodegradation will be. The late strong strike-slip movement of the Tanlu fault may have significantly enhanced the biodegradation extent of several oils in fields located in the Tanlu fault zone by introducing oxygenated freshwater from the surface or near-surface and creating a more suitable environment for biodegradation. C19 tricyclic terpane/C23 tricyclic terpane (C19/C23 TT), C24 tetracyclic/C26 tricyclic terpane (C24 Tet/C26 TT) and Gammacerane/C24 Tetracyclic (Gam/C24 Tet) do not seem to be influenced by biodegradation and show obvious differences between the three different source rock intervals. Such a biomarker parameter assemblage can be used successfully to determined the origin of severely biodegraded oils (higher than PM 6) by correlating with extracts of possible source rocks in the Bohai offshore area."
"Pyrolysis of asphaltenes and biomarkers for the fingerprinting of the Amoco Cadiz oil spill after 23 years","https://scispace.com/paper/pyrolysis-of-asphaltenes-and-biomarkers-for-the-4y6385f153","2009","Journal Article","Nature Precedings","J. Oudot
Frédéric Chaillan","10.1038/NPRE.2009.2975.1","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses asphaltene pyrolysis and GC‑MS biomarker analysis to assess long‑term biodegradation of the Amoco Cadiz oil spill.","The chemical composition of the petroleum products accidently or deliberately released in the environment varies considerably with time under the action of biological (biodegradation) and physico-chemical (photo-oxidation) processes. It becomes more and more difficult to trace the origin of the oil spilled. A technique widely used for monitoring ancient oil pollutions is the study of oil biomarkers like terpanes and steranes^1,2^. Here we show that the geochemical technique of asphaltenes pyrolysis can be successfully applied to environmental samples. This method allows the reconstitution of the original oil from the asphaltenes fraction of severely degraded oil residues. We applied the two techniques: biomarkers analysis and pyrolysis of asphaltenes to the long-term characterisation of the Amoco Cadiz oil 23 years after the spill in the salt marshes of Ile Grande, Northern Brittany, France. The results show that the oil reached the ultimate degradation stage. The total biodegradation rate was 60% relatively to initial oil. The asphaltenes pyrolysis generated a gas-chromatographic profile very similar to the original Amoco Cadiz oil. In the biomarkers fraction, gas chromatographic/mass spectrometric (GC/MS) analyses demonstrated that terpanes were conserved whereas steranes were partly degraded. We also showed that the class of seco-hopanes biomarkers are conserved and can be used in the long term monitoring of oil pollutions."
"Biomarker characters and biodegradation of petroleum in Gangxi oil field, China","https://scispace.com/paper/biomarker-characters-and-biodegradation-of-petroleum-in-4owl0vpe67","2014","","","Minmin Cai
Jun Yao
Ruixia Wang","","https://scispace.com/pdf/biomarker-characters-and-biodegradation-of-petroleum-in-4owl0vpe67.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses GC‑MS to analyze petroleum biodegradation, focusing on biomarkers such as triaromatic steroids and other compounds.","Biomarker characters and biodegradation of petroleum were investigated in Gangxi oil field, China, using GC-MS analysis. TIC profiles suggested that the petroleum in oil reservoir was biodegraded seriously by indigenous microbiota, due to the secondary alteration processes (water flooding since 1972). The n-alkanes were missing in most of oil samples. The iso-alkanes were present in all of the samples but in low concentration. The polycyclic aromatic hydrocarbons were degraded at different degrees. The PAHs of 2 rings were almost missing, while that of 3 or 4 rings were present at low degraded rate. These suggested that the indigenous microorganism of oil well might have ability to degrade petroleum and it could be used for remedying oil spill. Through analysis of 28 kinds of biomarker, these oils showed similar characteristics: mid content of gammacerane, abundant hopane, and low content of oleanane. These meant that the source of oil might be prokaryotic organisms and algal, and the reservoirs was a not highly reducing and anoxic environment. The maturity parameters of 20S / (20S + 20R) and ββ / (ββ + αα) showed these oil was mature oil, and the maturity degree of oil samples increased as order: 2#, 5#, 3# or 1#, 4#, 6#."
"Hydrocarbon generation potential of late cretaceous shales and carbonates in Hekimhan basin and genetic relationships with Karadere oil seep (Eastern Anatolia Region, Turkey)","https://scispace.com/paper/hydrocarbon-generation-potential-of-late-cretaceous-shales-4d7ym80tuf","2018","Journal Article","Journal of Petroleum Exploration and Production Technology","Nazan Yalcin Erik","10.1007/S13202-018-0489-5","https://scispace.com/pdf/hydrocarbon-generation-potential-of-late-cretaceous-shales-4d7ym80tuf.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses petroleum biodegradation using biomarkers and asphaltenes; includes geochemical analysis.","In this study, Karadere oil seep (solid bitumen) and Late Cretaceous shales and carbonate levels of the Hekimhan Formation in Hekimhan Basin are compared genetically by means of organic-geochemical data. Investigated shale samples have generally low (< 0.5%) the total organic carbon values (TOC, wt%) and there is no petroleum and gas source-rock potential; however, the amount (0.11–5.92%) and type (type II–III kerogen) of organic matter within limestone are consistent for source-rock potential. On the basis of average Tmax (433 °C) and 0.53% R0 values, the investigated samples are at the immature and early mature level for hydrocarbon generation. According to biomarker data, the bitumen is pre-Cretaceous in age, highly reducing conditions, formed in a marine depositional environment at normal salinity, and under the influence of high bacterial activity, and was originate from an immature carbonate source rock. These geochemical data are highly in agreement with the late Cretaceous limestone of the Hekimhan Formation, and these rocks may be considered the source rock of the solid bitumen. However, these organic richness zones formed from non-indigenous organic material, and therefore, it is concluded that this seepage which generates from non-indigenous organic materials cannot be due to the limestone at the evaluated level. On the basis of organic-geochemical evaluations, it has been concluded that, in Hekimhan Basin, some hydrocarbons developed in deeper, more mature intervals of the limestone, and that these were migrated probably only a short distance within the basin and became really surfaced in relation to tension fractures."
"Impact of formation water geochemistry and crude oil biodegradation on microbial methanogenesis","https://scispace.com/paper/impact-of-formation-water-geochemistry-and-crude-oil-4cy1ffbcg7","2016","Journal Article","Organic Geochemistry","Jenna L. Shelton
Jenna L. Shelton
Jennifer C. McIntosh
Jennifer C. McIntosh
Peter D. Warwick
John E. McCray","10.1016/J.ORGGEOCHEM.2016.05.008","https://cyberleninka.org/article/n/606586.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses petroleum biodegradation using biomarkers and geochemistry, detailing a biodegradation removal scale and alterations of n‑alkanes, hopanes, steranes, etc.",""
"Investigation of the bioremediation potential of aerobic zymogenous microorganisms in soil for crude oil biodegradation","https://scispace.com/paper/investigation-of-the-bioremediation-potential-of-aerobic-48cus4oddv","2011","Journal Article","Journal of The Serbian Chemical Society","Tatjana Solevic
Milan Novaković
Mila Ilić
Mališa Antić
Miroslav M. Vrvić
Branimir Jovančićević","10.2298/JSC100531033S","https://scispace.com/pdf/investigation-of-the-bioremediation-potential-of-aerobic-48cus4oddv.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Analyzes petroleum biodegradation with GC‑MS chromatography, quantifying biomarkers such as methyl‑phenanthrenes, steranes and n‑alkanes in soil samples.","The bioremediation potential of the aerobic zymogenous microorga- nisms in soil (Danube alluvium, Pancevo, Serbia) for crude oil biodegradation was investigated. A mixture of paraffinic types of oils was used as the sub- strate. The laboratory experiment of the simulated oil biodegradation lasted 15, 30, 45, 60 and 75 days. In parallel, an experiment with a control sample was conducted. Extracts were isolated from the samples with chloroform in a sepa- ration funnel. From these extracts, the hydrocarbons were isolated by column chromatography and analyzed by gas chromatography-mass spectrometry (GC-MS). n-Alkanes, isoprenoids, phenanthrene and its derivatives with one and two methyl groups were quantitatively analyzed. The ability and efficiency of zymogenous microorganisms in soil for crude oil bioremediation was asses- sed by comparison between the composition of samples which were exposed to the microorganisms and the control sample. The investigated microorganisms showed the highest bioremediation potential in the biodegradation of n-alkanes and isoprenoids. A considerably high bioremediation potential was confirmed in the biodegradation of phenanthrene and methyl phenanthrenes. Low biore- mediation potential of these microorganisms was proven in the case of poly- cyclic alkanes of the sterane and triterpane types and dimethyl phenanthrenes."
"Alkane Biomarkers. Geochemical Significance and Application in Oil Shale Geochemistry","https://scispace.com/paper/alkane-biomarkers-geochemical-significance-and-application-1jzrolninh","1995","Book Chapter","","Francisco Javier González-Vila","10.1007/978-94-011-0317-6_4","https://scispace.com/pdf/alkane-biomarkers-geochemical-significance-and-application-1jzrolninh.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses petroleum biodegradation using alkane biomarkers, mentions asphaltenes, and employs GC‑MS and chromatography in geochemical analysis.","The application of alkane biomarkers for source, palaeoenvironmental reconstruction, maturity and biodegradation of sedimentary organic matter is briefly reviewed. Data on the extractable biomarker composition of a Spanish oil shale, as well as some considerations on future work in biomarker geochemistry are also included."
"Gas chromatography - mass spectrometry (gc-ms) in organic geochemical investigation of crude oils from kikinda and velebit fields in serbia","https://scispace.com/paper/gas-chromatography-mass-spectrometry-gc-ms-in-organic-568q84f76b","2017","Journal Article","International Journal of Research","Hamza Khalifa
Abdussalam Ali Ahmed
Ayiman Abusaediyah
Aejeeliyah Yousuf
Salheen Grimida","10.29121/GRANTHAALAYAH.V5.I6.2017.2073","https://scispace.com/pdf/gas-chromatography-mass-spectrometry-gc-ms-in-organic-568q84f76b.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Analyzes crude oil biodegradation with GC‑MS, discusses biomarker distributions and asphaltenes, comparing degraded Velebit and non‑degraded Kikinda samples.","In this work two crude oil samples were investigated to present the difference between biodegraded (Velebit) and non-degraded (Kikinda) oil. Two samples are from the Velebit oil–gas field and the Kikinda oil-gas field. These are two of the largest oil and gas deposits in the Serbian part of the Pannonian Basin. In the experimental part of this work, two samples of crude oil were separated by column chromatography. Saturated hydrocarbons were analyzed by gas chromatography-mass spectrometry instruments. Based on the abundance and distribution of biomarkers, it could be conclude that the distribution is typical of oil in both samples, with difference in the distribution of n-alkane.  GC-MS chromatogram of n-alkanes and isoprenoids of saturated fraction isolated from Velebit crude oil show the distribution typical of oils altered by biodegradation."
"Origin of Mesozoic Biodegraded Crude Oils from the Eastern Chepaizi Uplift (Junggar Basin) Constrained by the Biomarker Recovery Method","https://scispace.com/paper/origin-of-mesozoic-biodegraded-crude-oils-from-the-eastern-2cz6b1ps","2023","Journal Article","Energy & Fuels","Zhaoyang Wang
Xiangchun Chang
Youde Xu
Pengfei Zhang
Bingbing Shi
Tianchen Ge
Yanfang Yin
Lei Su","10.1021/acs.energyfuels.2c03750","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses petroleum biodegradation using biomarker recovery, recovers hopane and terpane parameters, applies Peters/Moldowan scale, and uses geochemical analysis.","The Mesozoic (Jurassic and Cretaceous) sandstone reservoirs in the eastern Chepaizi Uplift of the Junggar Basin (NW China) have become hot targets in recent years for their substantial amounts of oils discovered. However, the oil origin has been a controversial issue due to biodegradation. In this study, hierarchical cluster analysis and principal component analysis show that the Mesozoic crude oils can be divided into three oil families (A1, A2, and A3). Meanwhile, the biodegradation level of the three oil families (PM 6 to 9+) was evaluated based on the PM scale and the parameter-stripping method of strongly resistant parameters. Allowing for this extremely high biodegradation case, this study adopted a biomarker recovery method to recover the original appearances of the three oil families. Here, eight parameters related to hopane (H), tricyclic terpane (TT), and C24-tetracyclic terpane (C24 Tet) were recovered, the dispersion of eight parameter sets is significantly reduced, and the geochemical characteristics are more obvious, especially for TT. Thus, this reliability and robustness, as well as the similarity between the source rock and the biodegraded crude oils, encourage us to perform oil–source correlation. The oil–source correlation revealed that family A1 was derived from the Permian source rocks in the Shawan Sag, family A2 was mainly derived from the Permian source rocks in the Shawan Sag and mixed with a small amount of oils generated by the Jurassic source rocks in the Sikeshu Sag and the Carboniferous source rocks in the Chepaizi Uplift, and family A3 mainly originated from the Permian source rocks in the Shawan Sag mixed with a small amount of oil produced by the Carboniferous source rocks in the Chepaizi Uplift. This conclusion is also further supported by effective biomarker parameters and a stable carbon isotope (δ13C), discriminant analysis, hydrocarbon migration, and restored paleogeomorphology. The parameter recovery is evidenced as one of the most useful methods and showed higher resolution than the conventional oil–source correlation to identify the origins of biodegraded oils. "
