"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Relationship between the Macroscopic and Quantum Characteristics of Dynamic Viscosity for Hydrocarbons upon the Compensation Effect","https://scispace.com/paper/relationship-between-the-macroscopic-and-quantum-44yk17lxkk","2018","Journal Article","Russian Journal of Physical Chemistry A","M. Yu. Dolomatov
M. Yu. Dolomatov
Ella A. Kovaleva
D. A. Khamidullina","10.1134/S0036024418050084","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Frenkel–Eyring hole model to relate activation energy and pre‑exponential factor, calculating dynamic viscosity of liquid hydrocarbons via quantum and topological parameters.","An approach that allows the calculation of dynamic viscosity for liquid hydrocarbons from quantum (ionization energies) and molecular (Wiener topological indices) parameters is proposed. A physical relationship is revealed between ionization and the energies of viscous flow activation. This relationship is due to the contribution from the dispersion component of Van der Waals forces to intermolecular interaction. A two-parameter dependence of the energy of viscous flow activation, energy of ionization, and Wiener topological indices is obtained. The dynamic viscosities of liquid hydrocarbons can be calculated from the kinetic compensation effect of dynamic viscosity, which indicates a relationship between the energy of activation and the Arrhenius pre-exponental factor of the Frenkel–Eyring hole model. Calculation results are confirmed through statistical processing of the experimental data."
"Eyring's Rate Theory and Its Connection to Entropy Scaling: Viscosity and Self-Diffusion of Hydrocarbons, Alcohols, and Water","https://scispace.com/paper/eyring-s-rate-theory-and-its-connection-to-entropy-scaling-qa5macipeiee","2025","Journal Article","","Maximilian Fleck","10.26434/chemrxiv-2025-nbhbq","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses revised Eyring theory to predict viscosity of hydrocarbons, linking activation energy to residual entropy and addressing fluid thermodynamic conditions.","Eyring's absolute rate theory relates fluid flow with the activation energy necessary for a molecule to go from one equilibrium position to another. Developed nearly a century ago, it remains a powerful approach for understanding transport processes in liquids. This work presents a revision of Eyring's theory by replacing the vaporization-based parts of the theory with a residual approach that conceptualizes transport as local (re)movement of molecules within the system rather than removal from it. In this new approach, the energy barrier corresponds to the difference between a molecule with and without intermolecular interactions, effectively treating it as the residual property related to an ideal gas reference state. Furthermore, we explore the physical connections between Eyring's absolute rate theory and Rosenfeld excess entropy scaling, revealing that both approaches describe complementary aspects of the same transport phenomena. It is tempting to link both theories. The activation parameters in Eyring's theory, particularly the energy of activation, are shown to relate to the residual entropy used in entropy scaling. This provides a pathway to establish entropy scaling on a more rigorous physical foundation while offering deeper insights into the molecular mechanisms governing viscous flow. In comparison to experimental data, the revised theory demonstrated significant predictive power for viscosity across a wide range of thermodynamic conditions and species, including associating liquids. Moreover, parameters are transferable to other properties, such as self-diffusion. "
"Viscous behavior of linear and three-branch alkanes: Linking the equilibrium and transport theories","https://scispace.com/paper/viscous-behavior-of-linear-and-three-branch-alkanes-linking-3fsujyykn5ug","2022","Journal Article","","","10.1002/(sici)1099-0488(19990501)37:9&lt;879","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Combines Eyring transport theory with statistical thermodynamics to model zero‑shear viscosity of linear and branched alkanes, calculating activation‑energy constants and addressing fluid thermodynamic aspects.","A new model for zero-shear viscosity, eta, is proposed. The model combines the Simha-Somcynsky (SS) statistical thermodynamic theory of liquids with the Eyring Significant Structure (ESS) transport theory. Using the new model, a successful linearization of the experimental viscosity vs, hole fraction data was obtained. A comparison between the new model and Utracki's relation, 1n eta = a(0) + a(1)/(h + a(2)) was also made. The former was found to be more successful for both linear and nonlinear structures, provided that an appropriate choice of the degrees of freedom of normal and activated states was made. The proportionality constant of the activation energy and transmission coefficient were also calculated for each species. (C) 1999 John Wiley &amp; Sons, Inc. "
"Linking the Viscous and Vacancy Behavior of Mixtures of High-Molecular-Weight Hydrocarbons","https://scispace.com/paper/linking-the-viscous-and-vacancy-behavior-of-mixtures-of-high-ze7t8pzab9","2006","Journal Article","International Journal of Thermophysics","Fatma Şahin
Cumali Tav
Ugur Yahsi","10.1007/S10765-006-0099-1","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Eyring‑based free‑volume model to predict viscosity of high‑molecular‑weight hydrocarbon mixtures, calculating activation energy and applying thermodynamic equations of state.","A zero-shear viscosity model has now been extended to mixtures of three-branch alkanes with and without cyclopentyl or cyclohexyl attachments. The model links the equilibrium theory of Simha–Somcynsky (SS) statistical thermodynamics of liquids and the Eyring significant structure (ESS) transport theory. The predicted quantity of the hole fraction as a measure of the free volume, computed from the SS equation of state, plays a primary role in the approach to combine both theories. Experimental PVTη data from 310 to 408 K and 0.1 to 344.5 MPa have been used. The proportionality constant of the activation energy and the transmission coefficient have been calculated for each species separately, and they are in the expected trend with the fraction of mixtures. Satisfactory agreement in the prediction of viscosity from the hole fraction has been obtained. The volumetric and viscous data of physical mixtures are predicted from and compared with their chemical correspondence."
"Linking the viscous and vacancy behavior of high molecular weight hydrocarbons","https://scispace.com/paper/linking-the-viscous-and-vacancy-behavior-of-high-molecular-1plj5en1m6","2004","Journal Article","Rheologica Acta","Ugur Yahsi
Fatma Şahin","10.1007/S00397-003-0330-Y","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Eyring Significant Structure theory with Simha‑Somcynsky thermodynamics to predict viscosity of branched hydrocarbons via hole fraction and activation energy.","A new theoretical model that was recently purposed for zero-shear viscosity has now been extended to the three-branch alkanes with pentyl, hexyl, or phenyl attachments. The model links the equilibrium theory of Simha-Somcynsky (SS) statistical thermodynamics of liquids and the transport theory of Eyring Significant Structure (ESS). The predicted quantity of hole fraction as a measure of the free volume, computed from the SS equation of state, plays a primary role in the theory to combine the both theories. The experimental PVTη data from 310 to 408 K temperature and 0.1 to 344.5 MPa pressure range have been used. The proportionality constants of the activation energy and the transmission coefficient have been calculated for each species separately and they are in expected trend with the substituted ring structure. Satisfactory agreement in prediction of viscosity from the hole fraction has been obtained."
"Dependence of dynamic viscosity of naphthenic hydrocarbons in cyclopentane series on quantum and structural parameters","https://scispace.com/paper/dependence-of-dynamic-viscosity-of-naphthenic-hydrocarbons-543rqizo4h","2020","Journal Article","","Ella A. Kovaleva
Mikhail Yu. Dolomatov","10.6060/IVKKT.20206304.6099","https://scispace.com/pdf/dependence-of-dynamic-viscosity-of-naphthenic-hydrocarbons-543rqizo4h.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ionization potentials and topological indices in a Frenkel‑Eyring‑based QSPR to predict dynamic viscosity of cyclopentane‑series hydrocarbons, linking activation energy and thermodynamic fluid behavior.","Рассмотрена взаимосвязь параметров вязкого течения ньютоновской жидкости моноциклических углеводородов с квантовыми и структурными (топологическими) характеристиками молекул. В качестве квантовых и топологических характеристик рассмотрены потенциалы ионизации и топологические индексы, соответственно. Вертикальные потенциалы ионизации рассчитывали по теореме Купманса квантово-химическими методами с полной оптимизацией геометрии молекул. В качестве топологических индексов, учитывающих размеры и форму графа, были исследованы индекс Винера, центрический индекс Балабана, индексы Рандича (индекс молекулярной связности), Гутмана (Сцегеда), Платта и Харари. Для углеводородов ряда циклопентана с боковыми цепями установлен кинетический компенсационный эффект динамической вязкости, который связывает энергию активации и предэкспоненту Аррениуса в рамках модели Френкеля-Эйринга. Установлено, что для соединений рядов пятичленных нафтенов кажущаяся энергия активации вязкого течения и связанная с ней предэкспонента Аррениуса зависят от квантовых параметров (потенциалов ионизации) и топологии молекул. В работе предложена регрессионная модель QSPR «структура-свойство», использующая в качестве дескрипторов для прогноза динамической вязкости потенциалы ионизации и топологические индексы. Для проверки прогностических возможностей предложенной модели и адекватности прогноза рассчитана динамическая вязкость углеводородов, не входящих в базовый ряд. Дано экспериментальное и теоретическое обоснование предложенной закономерности в рамках представления об энергии активации вязкого течения как меры межмолекулярного взаимодействия и преобладания дисперсионного взаимодействия в молекулах углеводородов ряда циклопентана. Полученное в ходе исследования уравнение может быть использовано для прогнозирования вязкостных характеристик синтезированных и природных пятичленных нафтенов."
"Eyring Functions of Activation for the Viscous Flow of Some Higher Alcohols in Cyclohexane Solutions","https://scispace.com/paper/eyring-functions-of-activation-for-the-viscous-flow-of-some-413cso258r","1998","Journal Article","Monatshefte Fur Chemie","Helena Abramovič
Cveto Klofutar","10.1007/PL00013489","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Applies Eyring transition state theory to derive activation thermodynamics for viscous flow of higher alcohols in cyclohexane, linking viscosity to fluid thermodynamics.","The viscosities of solutions of 1-octanol, 1-nonanol, and 1-decanol in cyclohexane up to concentrations of 1.56 molċkg−1 were determined in the temperature range from 293.15 to 333.15 K. Applying Eyring’s transition state theory, the Eyring functions of activation for the viscous flow of binary mixtures, i.e. the molar Gibbs free energy, entropy, and enthalpy were estimated. The correlation coefficients β
 Y
 (Y=G, H, or S) were derived and used to discuss the initial effect of the solute on the activation parameters for the viscous flow. From the partial molar thermodynamic functions of activation and the partial molar volumetric data of solute and solvent at infinite dilution, the viscosity coefficient B was determined. For the interpretation of the experimental data, the Unified Interaction Parameter Formalism was used."
"Evaluation of the activation energy of viscous flow for a binary mixture in order to estimate the thermodiffusion coefficient","https://scispace.com/paper/evaluation-of-the-activation-energy-of-viscous-flow-for-a-1gt21qny1u","2011","Journal Article","Journal of Non-Equilibrium Thermodynamics","Alireza Abbasi
M. Ziad Saghir
Masahiro Kawaji","10.1515/JNETDY.2011.003","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Eyring viscosity theory to estimate activation energy and thermodiffusion coefficients for hydrocarbon binary mixtures, linking viscosity and fluid thermodynamics.","The evaluation of the activation energy in Eyring’s viscosity theory is of great importance in estimating the thermodiffusion coefficient for associating and non-associating fluid mixtures. Several methods were used to estimate the activation energies of pure components and then extended to mixtures of linear hydrocarbon chains. Results show that the recent model of Abbasi et al. [1] gives a good outcome in determining the activation energy of the components of a binary mixture. The activation energy model for pure components is shown to be useful for obtaining the activation energy of the mixture. In this paper, the activation energy model using alternative forms of Eyring’s viscosity theory is used to estimate the thermodiffusion coefficient values for hydrocarbon binary mixtures. Comparisons of predicted thermodiffusion coefficients using different theoretical models with the experimental data show good capability of the activation energy model."
"Viscosity behavior of mixtures of CO2 and lubricant oil","https://scispace.com/paper/viscosity-behavior-of-mixtures-of-co2-and-lubricant-oil-2p9y05niqd","2010","Journal Article","Journal of The Brazilian Society of Mechanical Sciences and Engineering","Moisés A. Marcelino Neto
Jader R. Barbosa","10.1590/S1678-58782010000400007","https://scispace.com/pdf/viscosity-behavior-of-mixtures-of-co2-and-lubricant-oil-2p9y05niqd.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Applies Eyring theory to model viscosity of CO2‑oil mixtures, correlates activation energy of viscous flow for hydrocarbon lubricants, and analyzes temperature‑dependent thermodynamic behavior.","Experimental data on the viscosity of mixtures of CO2 and lubricant oil were acquired and correlated using an excess-property approach based on the classical Eyring liquid viscosity model. Three oils of different types and viscosity grades (alkylbenzene AB ISO 32, mineral MO ISO 50 and polyol ester POE ISO 68) were evaluated at temperatures ranging from 36.5 to 82oC. The excess activation energy for viscous flow was successfully correlated as a function of temperature and concentration using Redlich-Kister polynomial expansions with up to three terms. Large departures from the ideal solution viscosity behavior have been identified in all mixtures. The nature of the observed deviations has been explored in the light of their dependence on temperature, refrigerant concentration and oil type. The Katti and Chaudry (1964) model of the activation energy of viscous flow displayed the best correlation of the experimental data, with RMS deviations of 4.6% (AB ISO 32), 3.3% (MO ISO 50) and 2.8% (POE ISO 68)."
"High-Temperature Compensation Effect of Dynamic Viscosity in Multicomponent Hydrocarbon Media","https://scispace.com/paper/high-temperature-compensation-effect-of-dynamic-viscosity-in-5gpuxwyrme","2017","Journal Article","Journal of Engineering Physics","M. Yu. Dolomatov
G. I. Nizamova
N. A. Zhuravleva","10.1007/S10891-017-1652-4","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Frenkel–Eyring equation to relate preexponential factor and activation energy, enabling prediction of high‑boiling hydrocarbon viscosity across temperatures up to thermal destruction.","Linear dependences connecting the preexponent to the activation energy of viscous flow in the Frenkel–Eyring equation have been obtained for multicomponent hydrocarbon media (high-boiling distillate fractions). For these media, the kinetic compensation effect has been established whose distinctive feature is its action in the temperature range including the temperature of thermal destruction (400–450°C) of the indicated media. The obtained results have been confirmed by statistical-processing data and make it possible to predict the dynamic viscosity of multicomponent hydrocarbon systems, such as tars and other high-boiling oil distillates."
