samp_type_cd,SampleTypeName,comments_SampleType,version_when_added
1,Spike,"A sample to which known quantities of specific (often organic) analytes have been added. Spiked samples are used to monitor the stability of the analytes from the time of the spike to the time of the analysis and to determine the potential bias introduced by the sample matrix. The measured and known concentrations are used to compute percent recovery for each analyte. Recovery rates are compared to potential factors, especially constituent concentrations, to discover causes of variability and (or) bias.",version 2.0
2,Blank,A blank sample is prepared from a reference material where none of the analytes of interest are present in detectable quantities,version 1.0
3,Reference,Reference samples are prepared from an aliquot of reference material. Reference samples are introduced into the data-collection process at various measurement stages to determine bias and variability of the measurement system. Individual sample results are compared to most probable values. Reference-sample results can be used to determine if an analytical process is within expected control limits and whether a project's data-quality objectives are met.,version 2.0
4,Blind,"A sample submitted for analysis whose known composition is unknown to the analyst. A blind sample is prepared from a reference material. A blind sample is a particular instance of the reference sample where the identity of the sample is not revealed to the analyzing entity. Blind samples are used to measure the performance of an analytical system, results of more than one laboratory, more than one analytical method, or the consistency of the same laboratory and method over time.",version 2.0
5,Duplicate,A two-sample instance of a replicate group. The preferred terminology for this type of sample is replicate. One sample is an environmental sample. The companion sample is a quality-control sample.,version 1.0
6,Reference material,"Reference material is a general term for a homogenous substance generally prepared by laboratories or chemical suppliers where the concentration of one or more constituents is known. Reference-material samples provide the baseline analytical results for comparison to reference samples. The reference-material sample results are the generally accepted analytical most probable values (MPV). Field users will normally submit reference samples, not reference material samples.",version 2.0
7,Replicate,A member of group of samples collected in a manner such that the samples are thought to be essentially identical. Samples where some part of the measurement process was altered (such as analysis by different laboratories or methods) are termed irreplicates. Irreplicates should not be identified as replicates. One group member is an environmental sample and the remaining group members are quality-control samples. Replicate samples are used to describe the variability measurement.,version 1.0
8,Spike solution,A solution with one or more well established analyte concentrations. A spike solution is a specific type of a liquid reference material that is added in known quantities to a known volume of another sample to form a spiked sample. Results for spike-solution samples are stored to describe the known concentrations of the analytes in the spiking solution lot. Spike-solution results are interpreted in conjunction with spiked sample results during the computation of the percent recovery.,version 2.0
9,Regular,Sample taken from the environment collected to represent the conditions at a particular place and time,version 1.0
A,Not determined,The sample type was not recorded.,version 2.0
B,Other QA,Other quality-assurance samples collected for specific purposes other than regular samples.,version 2.0
H,Composite (time),"Composite analyses represent samples collected over a period of time. Compositing minimizes sampling variability or analytical costs for sample group. Concentration and constituent load are assumed relatively constant over the composited time period. Or, concentrations are known to be changing and the composite sample is intended to characterize the event.",version 2.0
K,Spike Replicate,A replicate spike sample has the same properties as a spike sample (sample type=1). Either the concentrations or the recovery rates of the spike and spike replicate samples are compared to determine how the matrix of the sample affects both the precision and bias associated with the results.,version 2.0
P,Profile,,version 2.0
