"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Evaluation of Oil Viscosity Performance Using Several Empirical Correlations for Some Libyan Crude Oils","https://scispace.com/paper/evaluation-of-oil-viscosity-performance-using-several-2qen5i1vdy","2016","Journal Article","Journal of Engineering and Technology","Khulud. M. Rahuma","10.11648/J.AJETM.20160104.11","https://scispace.com/pdf/evaluation-of-oil-viscosity-performance-using-several-2qen5i1vdy.pdf","Evaluation of oil viscosity is an important deal in the design of various operations in oil fields and refineries. Therefore, the variety in viscosity of crude oil, depends on pressure and temperature [1]. In this work, different oil samples from Libyan reservoirs were selected and supplementary data were collected from published literature. Chew-Connally [2], Beggs-Robinson [3], Labedi [4] and modified kartoatmodjo [5] correlations are applied to the acquired data set and a comprehensive error analysis is performed based on a comparison of the predicted value with the experimental value. Results concluded that Beggs-Robinson model gives the lowest value of absolute average deviation (AAD %) 21.19 % compared with the other models promoting this correlation for more applications.","In this article, different oil samples from Libyan reservoirs were selected and supplementary data were collected from published literature, and a comprehensive error analysis was performed based on a comparison of the predicted value with the experimental value."
"Estimation of Viscosity of Azerbaijan Crude Oil","https://scispace.com/paper/estimation-of-viscosity-of-azerbaijan-crude-oil-l1ivkk0ivp","2019","Journal Article","","Yadigar Imamverdiyev
Makrufa Sh. Hajirahimova","10.18488/JOURNAL.79.2019.61.8.16","","In this study, the prediction issue of oil viscosity, on oil samples taken from Guneshli oil field of Azerbaijan has been viewed applying empirical correlations as Beggs-Robinson, Labedi, modified Kartoatmodjo, Elsharkawy and Alikhan, Al-Khafaji. The correlation models used in the evaluation of viscosity of Azerbaijan oil have been implemented in the Python software environment. The obtained values on empirical correlations have been compared to experimental data obtained from Guneshli oil field. The result of prediction has been evaluated using statistic functions as absolute average deviation (AAD), mean absolute error (MAE), correlation coefficient, root mean square error (RMSE). According to statistical analysis, it has been known that the Beggs-Robinson model has shown the lowest value on AAD (10.5614%), MAE (12.4427 %), RMSE (20.0853 %). The Labedi model has presented the worst result on every four criterions. Even though the Elsharkawy-Alikhan model has presented the highest result (99.9272%) on correlation coefficient, in the evaluation of viscosity of Azerbaijan crude oil, the Beggs-Robinson model can be considered more acceptable.","In this article, the prediction issue of oil viscosity, on oil samples taken from Guneshli oil field of Azerbaijan has been viewed applying empirical correlations as Beggs-Robinson, Labedi, modified Kartoatmodjo, Elsharkawy and Alikhan, Al-Khafaji."
"Testing the performance of some dead oil viscosity correlations","https://scispace.com/paper/testing-the-performance-of-some-dead-oil-viscosity-4cp929l7s9","2012","","","Elmahboub Edreder
Khulud Rahuma","","","The knowledge of viscosity plays a very important role in a variety of interesting engineering problems involving fluid flow in porous media and reservoir simulation. The dead oil viscosity is defined as the viscosity of crude oil at atmospheric pressure (no gas in solution) and system temperature. Several correlations have been proposed in the past for predicting the dead oil viscosity. Most of the dead oil viscosity correlations are based on the oil °API gravity and temperature. In this work, evaluating the performance of investigated models. Beal, Beggs-Robinson, Glaso, Labedi and Petrosky and Farshad correlations have been investigated for some Libyan crude oils. Statistical analysis in terms of absolute deviation percent (% AD), and the absolute average deviations percent (% AAD) are used to subject the evaluation of the viscosity correlations. Comparison results indicate that, Beggs-Robinson correlation provide the best prediction for dead oil viscosities in the investigated Libyan oil samples within AAD of 9.58%. Results of this study can be helpful in screening viscosity correlations to suite Libyan crude oils as well as similar crudes. Key Word: Viscosity; dead oil; correlation; absolute average deviation; temperature.","In this article, Beal, Beggs-Robinson, Glaso, Labedi and Petrosky and Farshad correlations have been investigated for some Libyan crude oils."
"The Prediction of Viscosity, Formation Volume Factor, and Bubble Point Pressure of Heavy Oil Using Statistical Analysis, Artificial Neural Networks, and Three-dimensional Modeling: A Comparative Evaluation","https://scispace.com/paper/the-prediction-of-viscosity-formation-volume-factor-and-19nzx7zwu3","2014","Journal Article","Energy Sources Part A-recovery Utilization and Environmental Effects","F. Torabi
B. Y. Jamaloei
C. J. Zunti
C. C. Markwart","10.1080/15567036.2010.547926","","The physical properties of the reservoir fluids are required for various applications, such as reservoir performance optimization, field development, and modeling of the numerous enhanced oil recovery processes Some correlations have been developed that can predict the properties of the reservoir fluids However, most of these correlations do not accurately predict the physical properties of the heavy oil This study uses three approaches to develop new correlations for the calculation of the dead oil viscosity: statistical analysis, artificial neural networks, and three-dimensional modeling The results indicate that the developed correlations in this study for prediction of the heavy oil viscosity outperform the previously developed correlations Moreover, the statistical analysis is performed to develop new correlations for prediction of the bubble point pressure and the formation volume factor The results of these correlations are in good agreement with the experimental values Finally, recommendati","In this paper, the authors used three approaches to develop new correlations for the calculation of the dead oil viscosity: statistical analysis, artificial neural networks, and three-dimensional modeling."
"Pressure-Volume-Temperature Correlations for Heavy and Extra Heavy Oils","https://scispace.com/paper/pressure-volume-temperature-correlations-for-heavy-and-extra-34btve6aly","1995","Proceedings Article","","Giambattista De Ghetto
Francesco Paone
Marco Villa","10.2118/30316-MS","","The paper evaluates the reliability of the most common empirical correlations used for determining reservoir fluid properties whenever laboratory PVT data are not available : bubblepoint pressure, solution GOR, bubblepoint OFVF, isothermal compressibility, dead-oil viscosity, gas-saturated oil viscosity and undersaturated oil viscosity. The reliability has been evaluated against a set of about 65 heavy and extra-heavy oil samples. About 1200 measured data points have been collected and investigated. All measured data points are reported in the paper. For all the correlations, the following statistical parameters have been calculated : a) relative deviation between estimated and experimental values, b) average absolute percent error, c) standard deviation. Oil samples have been divided in two different API gravity classes : extra-heavy oils for °API≤ 10, heavy oils for 10< °API≤ 22.3. The best correlations for each class of API gravity have been evaluated for each oil-property. The functional forms of the correlations that gave the best results for each oil property have been used for finding a better correlation with errors reduced, on averages by 10%. In particular, for extra-heavy oils, since no correlations are available in literature (except for viscosity), a special investigation has been performed and new equations are proposed.","In this article, the reliability of the most common empirical correlations used for determining reservoir fluid properties whenever laboratory PVT data are not available was evaluated against a set of about 65 heavy and extra-heavy oil samples."
"The Model For Prediction Of TemperatureAnd Pressure Effects On Viscosity OfBitumens And Heavy Oils","https://scispace.com/paper/the-model-for-prediction-of-temperatureand-pressure-effects-awv545d14i","1970","","","V.R. Puttagunta
Adango Miadonye
B. Singh","10.2495/CMEM930341","https://scispace.com/pdf/the-model-for-prediction-of-temperatureand-pressure-effects-awv545d14i.pdf","A simple and generalized viscosity correlation has been developed for the prediction of viscosity of bitumens and heavy oils over a range of temperature and pressure relevant to in situ recovery processes. The correlation is a modification of the equation of Roelands [8], by incorporating a viscosity characterization parameter derived from a single viscosity measurement. The predicted values are in good agreement with experimental data, with an average absolute deviation of 4.5%. The correlation requires no chart, iteration, series of viscosity measurements or pseudo-critical property to accurately predict viscosity of bitumens and heavy oils. INTRODUCTION Predictions of impending shortages of conventional crude oil have generated a strong stimulus to the need for high efficiency recovery techniques for bitumens and heavy oils. Optimization of recovery methods will require a knowledge of the viscosities at in situ production conditions. Measurements of viscosity at the conditions of temperature and pressures prevalent in production and pipeline transportation are not only cumbersome but also highly expensive; thus several workers have proposed correlations for estimating bitumens and heavy oils viscosities (Farouq Ali [1]; Briggs et al. [2]; Mehrotra and Svrcek [3,4]; Johnson et al. [5]; Quail et al. [6]) . Transactions on Modelling and Simulation vol 4, © 1993 WIT Press, www.witpress.com, ISSN 1743-355X 484 Computational Methods and Experimental Measurements These correlations either are based on the pseudo-critical parameters of bitumen or require series of viscosity measurements in order to make predictions; which account for high prediction errors associated with them. This paper presents one parameter viscosity correlation which requires only one viscosity measurement at any convenient temperature to predict the combined effect of temperature and pressure on viscosity. Unlike other correlations, this correlation is simple to use and applies to all bitumens and heavy oils found around the world. Development of the Viscosity Model Sanderson [7] developed an equation based on double logarithm for calculating the kinematic viscosity of oil: log log (Kv + 0.6) = CP* + D 0) where C and D are constants for any given oil, P is the pressure and Kv is the kinematic viscosity at the required pressure. Equations to represent the effect of temperature and pressure on dynamic viscosity of bitumens came much later. Few researchers in this area include Briggs et al. [2], Mehrotra and Svrcek [3,4], and Johnson et al. [5], The following two models were employed by Mehrotra and Svrcek [3,4] for the viscosity of compressed Athabasca and Cold Lake bitumens: = exp [a^ + a> In 7] + a$ Pg (2) In ln(|i) = [a^ + a% + In 7] + % Pg (3) where a^, ^nd a^ are parameters specific to each bitumen. The average absolute deviation reported for these models was within 8.1%. The short-coming of these 'models is that the constants have to be determined for specific samples of heavy oil and bitumen. The model presented by Briggs et al. [2] was a modification of Roelands* equation [8]. Transactions on Modelling and Simulation vol 4, © 1993 WIT Press, www.witpress.com, ISSN 1743-355X Computational Methods and Experimental Measurements 485","Mehrotra and Svrcek as discussed by the authors developed a simple and generalized viscosity correlation for the prediction of viscosities of bitumens and heavy oils over a range of temperature and pressure relevant to in situ recovery processes."
"Development of a New Temperature-Dependent Viscosity Model for Crude Oils","https://scispace.com/paper/development-of-a-new-temperature-dependent-viscosity-model-3tycz6u6","2023","Journal Article","Industrial & Engineering Chemistry Research","K Bouresli
Xiaoliang Ma
Hamza Albazzaz
Shibu Jose","10.1021/acs.iecr.3c01213","","The objective of this study is to develop a more accurate model for predicting the dynamic viscosity of a wide range of crude oils at different temperatures. The dynamic viscosities of four Kuwaiti crude oils and a Maya heavy crude oil with an API gravity range of 11.3–26.5 were measured over a temperature range of 25–150 °C, and then the obtained data were used to compare and evaluate the six major empirical temperature-dependent viscosity models reported in the literature. According to the temperature-viscosity correlation, a new empirical temperature-dependent viscosity model was first proposed for crude oils. The linear regression analysis and the statistic deviation analysis were conducted in comparison of the new temperature-dependent viscosity model with the six existing models. Deviation of the various models for the five different crude oils was calculated and discussed in detail. The results show that the new model displays the best correlation performance, giving the smallest average relative deviation of 3.0%, in comparison with the six existing models. ","In this article , the authors developed a more accurate model for predicting the dynamic viscosity of a wide range of crude oils at different temperatures, and compared the performance of the new model with the six existing models."
"Hydrocarbon Systems Viscosity Prediction from Fluid Pressures","https://scispace.com/paper/hydrocarbon-systems-viscosity-prediction-from-fluid-3gzmrww7fs","2006","Journal Article","Petroleum Science and Technology","M. N. Ugbe
C. T. Ako
J. U. Nwalor","10.1080/10916460601000902","","A single correlation for predicting hydrocarbon viscosities in existing and new installations is developed for the range of black oil through gas condensate systems. This semi-empirical, saturation-based correlation with only one adjustable parameter provides great ease of useability. Application of this correlation to several Nigerian crude oil and gas condensate systems is reported with percentage average deviations as low as below 0.5% for crude oil systems. Reported model correlation coefficients are as high as 0.99% for crude oils. Characteristic plots showing a good description of tested systems by the model are reported.","In this article, a single correlation for predicting hydrocarbon viscosities in existing and new installations is developed for the range of black oil through gas condensate systems, with a semi-empirical, saturation-based correlation with only one adjustable parameter."
"A Heavy-oil Viscosity Predicting Model Considering the Effect of Asphalt and Water Content","https://scispace.com/paper/a-heavy-oil-viscosity-predicting-model-considering-the-3oohqpuw23","2012","Journal Article","Journal of Oil and Gas Technology","LI Ying-chuan","","","Heavy oil viscosity was usually thought to be the function of temperature and API approximately.But it was also related to asphalt and colloid content,water content and so on.Four conventional viscosity prediction models for degassed heavy oil were evaluated by using sample test data from 29 heavy oil wells.A new model was established by using the method of comparison and fitting.The new model took temperature,API,asphalt and colloid content and water content into consideration.The viscosity of the heavy oil samples was forecasted by using the new model.The average relative errors within the two ranges of API are 15.76% and 17.20% respectively,which is far less than that of the evaluation models.The viscosity of other 11 heavy oil samples is also predicted by using the new model.The average and relative error is 17.66%,it can basically meet the requirement of engineering accuracy.","In this paper, a new model was established by using the method of comparison and fitting, which took temperature, API, asphalt and colloid content and water content into consideration to forecast the viscosity of the heavy oil samples."
"Prediction of Heavy-Oil Viscosities With a Simple Correlation Approach","https://scispace.com/paper/prediction-of-heavy-oil-viscosities-with-a-simple-43u39mz5e0","2014","Journal Article","Oil and gas facilities","Alireza Bahadori
Mahdi Mahmoudi
Alireza Nouri","10.2118/157360-PA","https://scispace.com/pdf/prediction-of-heavy-oil-viscosities-with-a-simple-43u39mz5e0.pdf","Summary Heavy-oil development is becoming increasingly important be- cause of the continuous decline in conventional-oil production. For heavy-oil reservoirs, the oil viscosity usually varies dramatically during production processes such as in thermal processes. When producing heavy oil, the high viscosity is a major impediment to recovery. Oil viscosity is often correlated directly to the reserves estimate in heavy-oil formations and can determine the success or failure of a given enhanced-oil-recovery scheme. As a result, viscosity is an important parameter for performing numerical simulation and determining the economics of a project. In this work, a simple-to-use correlation has been developed to correlate the viscosity of heavy oil to temperature and to a simple correlating parameter that can be used for heavy-oil characteriza- tion. The reported results are the product of the analysis of heavy- oil data collected from the open literature for various heavy-oil fields around the world. The tool developed in this study can be of immense practical value for petroleum engineers, providing a method for quick assessment of the viscosity of heavy oils. In par- ticular, petroleum and production engineers would find the pro- posed correlation to be user-friendly, with transparent calculations involving no complex expressions. The new proposed correlation shows consistently accurate results. This consistency could not be matched by any of the widely accepted existing correlations within the investigated range. For all conditions, the new correlation provided better results than existing correlations in the literature.","In this article, a simple-to-use correlation has been developed to correlate the viscosity of heavy oil to temperature and to a simple correlating parameter that can be used for heavy-oil characteriza- tion."
